First Name,Last Name,Email,Airtel Number,Relationship Numbers
Swapnil1,Pawar,swapnil1.pawar1@airpay.com.in,8652578963,109-123987456
Swapnil2,Pawar,swapnil1.pawar1@airpay.com.in,8652578964,109-123987457
Swapnil3,Pawar,swapnil1.pawar1@airpay.com.in,8652578965,109-123987458
Swapnil4,Pawar,swapnil1.pawar1@airpay.com.in,8652578966,109-123987459
Swapnil5,Pawar,swapnil1.pawar1@airpay.com.in,8652578967,109-123987460
Swapnil6,Pawar,swapnil1.pawar1@airpay.com.in,8652578968,109-123987461
Swapnil7,Pawar,swapnil1.pawar1@airpay.com.in,8652578969,109-123987462
Swapnil8,Pawar,swapnil1.pawar1@airpay.com.in,8652578970,109-123987463
Swapnil9,Pawar,swapnil1.pawar1@airpay.com.in,8652578971,109-123987464
Swapnil10,Pawar,swapnil1.pawar1@airpay.com.in,8652578972,109-123987465
Swapnil11,Pawar,swapnil1.pawar1@airpay.com.in,8652578973,109-123987466
Aniket1,Paradhi,swapnil1.pawar1@airpay.com.in,8652578974,109-123987467
Aniket2,Paradhi,swapnil1.pawar1@airpay.com.in,8652578975,109-123987468
Aniket3,Paradhi,swapnil1.pawar1@airpay.com.in,8652578976,109-123987469
Aniket4,Paradhi,swapnil1.pawar1@airpay.com.in,8652578977,109-123987470
Aniket5,Paradhi,swapnil1.pawar1@airpay.com.in,8652578978,109-123987471
Aniket6,Paradhi,swapnil1.pawar1@airpay.com.in,8652578979,109-123987472
Aniket7,Paradhi,swapnil1.pawar1@airpay.com.in,8652578980,109-123987473
Aniket8,Paradhi,swapnil1.pawar1@airpay.com.in,8652578981,109-123987474
Aniket9,Paradhi,swapnil1.pawar1@airpay.com.in,8652578982,109-123987475
Sushant1,kadam,swapnil1.pawar1@airpay.com.in,8652578983,109-123987476
Sushant2,kadam,swapnil1.pawar1@airpay.com.in,8652578984,109-123987477
Sushant3,kadam,swapnil1.pawar1@airpay.com.in,8652578985,109-123987478
Sushant4,kadam,swapnil1.pawar1@airpay.com.in,8652578986,109-123987479
Sushant5,kadam,swapnil1.pawar1@airpay.com.in,8652578987,109-123987480
Sushant6,kadam,swapnil1.pawar1@airpay.com.in,8652578988,109-123987481
Sushant7,kadam,swapnil1.pawar1@airpay.com.in,8652578989,109-123987482
Sushant8,kadam,swapnil1.pawar1@airpay.com.in,8652578990,109-123987483
Sushant9,kadam,swapnil1.pawar1@airpay.com.in,8652578991,109-123987484
Sushant10,kadam,swapnil1.pawar1@airpay.com.in,8652578992,109-123987485
Tejas1,consultant,swapnil1.pawar1@airpay.com.in,8652578993,109-123987486
Tejas2,consultant,swapnil1.pawar1@airpay.com.in,8652578994,109-123987487
Tejas3,consultant,swapnil1.pawar1@airpay.com.in,8652578995,109-123987488
Tejas4,consultant,swapnil1.pawar1@airpay.com.in,8652578996,109-123987489
Tejas5,consultant,swapnil1.pawar1@airpay.com.in,8652578997,109-123987490
Tejas6,consultant,swapnil1.pawar1@airpay.com.in,8652578998,109-123987491
Tejas7,consultant,swapnil1.pawar1@airpay.com.in,8652578999,109-123987492
Tejas8,consultant,swapnil1.pawar1@airpay.com.in,8652579000,109-123987493
Tejas9,consultant,swapnil1.pawar1@airpay.com.in,8652579001,109-123987494
